Ward_name,Old_code,New_code,Population2015,All_Children_aged_0_15_2015,All_Working_age_16-64_2015,Mean_Age_2013,Area_Square_Kilometres,Population_density_2013,BAME_2011,Not_Born_in_UK_2011,Male_life_expectancy_2009_13,Female_life_expectancy_2009_13 ,Number_Killed_or_Seriously_Injured_on_roads_2014,Employment_rate_16_64_2011,Number_of_jobs_in_area_2013,Median_House_Price_2014,Number_of_properties_sold_2014,Median_Household_income_estimate_2012_13,Number_of_Household_spaces_2011,Households_Social_Rented_2011,Households_Private_Rented_2011,dwellings_in_council_tax_bands_A_or_B_2015,dwellings_in_council_tax_bands_C_D_or_E_2015,dwellings_in_council_tax_bands_F_G_or_H_2015,Claimant_rate_of_key_out_of_work_benefits_working_age_client_group_2014,Claimant_Rate_of_Housing_Benefit_2015,Claimant_Rate_of_Employment_Support_Allowance_2014,Rate_of_JobSeekers_Allowance_JSA_Claimants_2015,Average_GCSE_capped_point_scores_2014,with_Level_4_qualifications_and_above_2011,Crime_rate_2014_15,Violence_against_the_person_rate_2014_15,Deliberate_Fires_per_1000_population_2014,area_that_is_open_space_2014,Average_Public_Transport_Accessibility_score_2014
City of London,00AA,E05000001,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000002,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000003,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000004,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000005,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000006,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000007,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000008,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000009,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000010,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000011,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000012,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000013,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000014,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000015,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000016,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000017,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000018,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000019,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000020,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000021,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000022,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000023,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000024,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
City of London,00AA,E05000025,324,8,76.9,41.3,0.128,2538.1,21.4,36.7,84.3,88.6,57,79.6,15696,765000,12,63620,221,16.5,35.9,4.6,61.9,33.4,5.1,5.3,1.9,1.3,354.5,68.4,656.4,85.3,0.4,18.6,7.9
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,26,69,29.5,1.3,10500,71.9,57.3,80.2,83.9,2,60.3,9500,173000,151,33920,4753,26.7,38.6,45.2,54.8,0,15.1,16.1,4.2,4,317.7,34.5,138.1,42.2,1.4,21.9,6
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,25.7,64.3,33.8,1.4,7428.6,29.9,24.7,77.2,80.6,1,63.1,1000,215000,119,32470,4045,36.8,15.9,9.7,90.3,0,20.7,17.7,7.3,3.7,307.4,16.7,73.6,27.3,0.7,20.6,3.1
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,25.4,65.9,33,1.3,9269.2,41.2,30.1,79,79.3,3,61.2,1300,210000,191,33000,4378,29.4,20.1,13.4,86.6,0,17.8,16.4,6.5,3.6,295.5,20.6,79.9,27.6,1.2,1.9,2.9
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,24.3,61.5,36.2,3.4,2985.3,37.9,24.8,79.2,82.2,6,63.6,1900,240500,108,33920,4062,32,12.4,33.8,65.9,0.2,19.4,15.1,5.9,3.7,293.4,19.5,76.1,24.6,1.3,56,2.3
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,20.1,65.7,37.7,3.5,3028.6,24.8,19,77.1,81.1,2,68.2,4000,240000,129,37400,3977,20,11.2,14.8,84.7,0.5,14.7,12.1,4.6,4,305.9,18.5,66.7,24.5,0.8,50.4,2.3
