City,Region,Founded,Population,URL,Longitude,Latitude
Aberdeen,Scotland,1891,222793,https://en.wikipedia.org//wiki/Aberdeen,-2.11,57.15
Armagh,Northern Ireland,1994,14777,https://en.wikipedia.org//wiki/Armagh,-6.6546,54.3499
"Bangor, Wales",Wales,nan,18808,"https://en.wikipedia.org//wiki/Bangor,_Gwynedd",-4.128,53.228
Bath,South West,1090,88859,"https://en.wikipedia.org//wiki/Bath,_Somerset",-2.36,51.38
"Belfast, Béal Feirste, Bilfawst",Northern Ireland,1888,333871,https://en.wikipedia.org//wiki/Belfast,-5.93,54.59639
Birmingham,West Midlands,1889,1092330,https://en.wikipedia.org//wiki/Birmingham,-1.9025,52.48
Bradford,Yorkshire and the Humber,1897,522452,https://en.wikipedia.org//wiki/City_of_Bradford,-1.754,53.792
Brighton & Hove,South East,2001,273369,https://en.wikipedia.org//wiki/Brighton_and_Hove,-0.15278,50.82778
Bristol,South West,1542,428234,https://en.wikipedia.org//wiki/Bristol,-2.583,51.45
Cambridge,East,1951,123867,https://en.wikipedia.org//wiki/Cambridge,0.11917,52.20528
Canterbury,South East,nan,151145,https://en.wikipedia.org//wiki/City_of_Canterbury,1.08,51.28
Cardiff,Wales,1905,346090,https://en.wikipedia.org//wiki/Cardiff,-3.17917,51.48167
Carlisle,North West,1133,107524,https://en.wikipedia.org//wiki/City_of_Carlisle,-2.94389,54.89083
Chelmsford,East,2012,168310,https://en.wikipedia.org//wiki/City_of_Chelmsford,0.47917,51.73528
Chester,North West,1541,91733,https://en.wikipedia.org//wiki/Chester,-2.89,53.19
Chichester,South East,1075,26795,https://en.wikipedia.org//wiki/Chichester,-0.7792,50.8365
Colchester,East,2022,194706,https://en.wikipedia.org//wiki/Borough_of_Colchester,0.90361,51.88861
Coventry,West Midlands,1102,316915,https://en.wikipedia.org//wiki/Coventry,-1.51056,52.40806
Derby,East Midlands,1977,248752,https://en.wikipedia.org//wiki/Derby,-1.47667,52.92167
